kepid,kepoi_name,koi_disposition,koi_score,koi_period,koi_duration,koi_depth,koi_time0bk,koi_prad,koi_ror,koi_dor,koi_impact,koi_incl,koi_srad,koi_smass,koi_steff,koi_slogg,koi_smet,koi_kepmag,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_vet_stat,koi_vet_date,koi_disp_prov,koi_period_err1,koi_period_err2,koi_duration_err1,koi_duration_err2,koi_depth_err1,koi_depth_err2,koi_prad_err1,koi_prad_err2,koi_steff_err1,koi_steff_err2
10797460,K00752.01,CONFIRMED,1.0,9.48803557,2.9575,615.8,170.53875,2.26,0.022344,24.81,0.146,89.66,0.927,0.919,5455.0,4.467,0.14,15.347,0,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,2.775e-05,-2.775e-05,0.0819,-0.0819,19.5,-19.5,0.26,-0.15,81.0,-81.0
10797460,K00752.02,CONFIRMED,0.969,54.4183827,4.507,874.8,162.51384,2.83,0.027954,77.9,0.586,89.57,0.927,0.919,5455.0,4.467,0.14,15.347,0,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,0.0002479,-0.0002479,0.116,-0.116,35.5,-35.5,0.32,-0.19,81.0,-81.0
10811496,K00753.01,CANDIDATE,0.0,19.89913995,1.7822,10829.0,175.850252,14.6,0.154046,53.5,0.969,88.96,0.868,0.961,5853.0,4.544,-0.18,15.436,0,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,1.494e-05,-1.494e-05,0.0341,-0.0341,171.0,-171.0,3.92,-1.31,158.0,-176.0
10848459,K00754.01,FALSE POSITIVE,0.0,1.736952453,2.40641,8079.2,170.307565,33.46,0.387394,3.278,1.276,67.09,0.791,0.836,5805.0,4.564,-0.52,15.597,0,1,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,2.63e-07,-2.63e-07,0.00537,-0.00537,12.8,-12.8,8.5,-2.83,157.0,-174.0
10854555,K00755.01,CONFIRMED,1.0,2.525591777,1.6545,603.3,171.59555,2.75,0.024064,8.75,0.701,85.41,1.046,1.095,6031.0,4.438,0.07,15.509,0,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,3.761e-06,-3.761e-06,0.042,-0.042,16.9,-16.9,0.88,-0.35,169.0,-211.0
10872983,K00756.01,CONFIRMED,1.0,11.09432054,4.5945,1517.5,171.20116,3.9,0.036779,16.36,0.538,88.11,0.972,1.053,6046.0,4.486,-0.08,15.714,0,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,2.036e-05,-2.036e-05,0.061,-0.061,24.2,-24.2,1.27,-0.42,189.0,-232.0
10872983,K00756.02,CONFIRMED,1.0,4.13443512,3.1402,686.0,172.97937,2.77,0.026133,6.96,0.762,83.72,0.972,1.053,6046.0,4.486,-0.08,15.714,0,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,1.046e-05,-1.046e-05,0.0673,-0.0673,18.7,-18.7,0.9,-0.3,189.0,-232.0
10872983,K00756.03,CONFIRMED,0.992,2.56658897,2.429,226.5,179.55437,1.59,0.014983,5.54,0.755,82.17,0.972,1.053,6046.0,4.486,-0.08,15.714,0,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,1.781e-05,-1.781e-05,0.165,-0.165,16.8,-16.8,0.52,-0.17,189.0,-232.0
6721123,K00114.01,FALSE POSITIVE,0.0,7.36178958,5.022,233.7,132.25053,39.21,0.183387,2.4,1.169,60.92,1.958,1.358,6227.0,3.986,0.0,12.66,0,1,1,0,Done,2018-08-16,q1_q17_dr25_sup_koi,2.128e-05,-2.128e-05,0.136,-0.136,5.8,-5.8,6.45,-9.67,111.0,-124.0
10910878,K00757.01,CONFIRMED,1.0,16.06864674,3.5347,4914.3,173.621937,5.76,0.062161,36.85,0.052,89.92,0.848,0.801,5031.0,4.485,0.16,15.841,0,0,0,0,Done,2018-08-16,q1_q17_dr25_sup_koi,1.088e-05,-1.088e-05,0.0241,-0.0241,33.3,-33.3,0.22,-0.49,75.0,-83.0
